date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:08	70671/70671	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jan%202025%2016:37:08%20GMT	https://nousresearch.com/	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/index.html	(from )
19:04:08	24/24	---M--	200	added ('OK')	text/plain	etag:%2265df2e6f-18%22	https://nousresearch.com/robots.txt		(from )
19:04:09	5501/5501	---MCZ	200	added ('OK')	text/css	etag:W/%2266a9183c-157d%22	https://nousresearch.com/wp-content/themes/hello-elementor/style.min.css?ver=3.1.1	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/themes/hello-elementor/style.minb12b.css	(from https://nousresearch.com/)
19:04:09	5146/5146	---MCZ	200	added ('OK')	text/css	etag:W/%2266a9183c-141a%22	https://nousresearch.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.1	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/themes/hello-elementor/theme.minb12b.css	(from https://nousresearch.com/)
19:04:09	19082/19082	---MCZ	200	added ('OK')	text/css	etag:W/%2267292bab-4a8a%22	https://nousresearch.com/wp-content/plugins/ajax-search-lite/css/style.basic.css?ver=4.12.4	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/plugins/ajax-search-lite/css/style.basic9cba.css	(from https://nousresearch.com/)
19:04:09	10704/10704	---MCZ	200	added ('OK')	text/css	etag:W/%2267292bab-29d0%22	https://nousresearch.com/wp-content/plugins/ajax-search-lite/css/style-simple-red.css?ver=4.12.4	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/plugins/ajax-search-lite/css/style-simple-red9cba.css	(from https://nousresearch.com/)
19:04:09	60670/60670	---MCZ	200	added ('OK')	text/css	etag:W/%226795bfbc-ecfe%22	https://nousresearch.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1737867196	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/uploads/elementor/css/custom-frontend.min8ed3.css	(from https://nousresearch.com/)
19:04:09	26749/26749	---MCZ	200	added ('OK')	text/css	etag:W/%226795bfbc-687d%22	https://nousresearch.com/wp-content/uploads/elementor/css/custom-pro-widget-nav-menu.min.css?ver=1737867196	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/uploads/elementor/css/custom-pro-widget-nav-menu.min8ed3.css	(from https://nousresearch.com/)
19:04:10	4296/4296	---MCZ	200	added ('OK')	text/css	etag:W/%226734b5da-10c8%22	https://nousresearch.com/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.25.6	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/plugins/elementor/assets/css/widget-divider.minf34d.css	(from https://nousresearch.com/)
19:04:10	704/704	---MCZ	200	added ('OK')	text/css	etag:W/%226734b5da-2c0%22	https://nousresearch.com/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.25.6	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/plugins/elementor/assets/css/widget-text-editor.minf34d.css	(from https://nousresearch.com/)
19:04:10	77/77	---MCZ	200	added ('OK')	text/css	etag:W/%226734b5d8-4d%22	https://nousresearch.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css?ver=3.25.6	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.minf34d.css	(from https://nousresearch.com/)
19:04:10	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%226734b5d9-4057%22	https://nousresearch.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://nousresearch.com/)
19:04:11	10260/10260	---MCZ	200	added ('OK')	text/css	etag:W/%226734b5da-2814%22	https://nousresearch.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.25.6	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.minf34d.css	(from https://nousresearch.com/)
19:04:11	2767/2767	---MCZ	200	added ('OK')	text/css	etag:W/%226795bfbc-acf%22	https://nousresearch.com/wp-content/uploads/elementor/css/post-4.css?ver=1737867196	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/uploads/elementor/css/post-48ed3.css	(from https://nousresearch.com/)
19:04:11	974/974	---MCZ	200	added ('OK')	text/css	etag:W/%226734bb3a-3ce%22	https://nousresearch.com/wp-content/plugins/elementor-pro/assets/css/conditionals/popup.min.css?ver=3.25.3	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/plugins/elementor-pro/assets/css/conditionals/popup.minb403.css	(from https://nousresearch.com/)
19:04:11	20003/20003	---MCZ	200	added ('OK')	text/css	etag:W/%226795c0df-4e23%22	https://nousresearch.com/wp-content/uploads/elementor/css/post-5.css?ver=1737867487	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/uploads/elementor/css/post-5ee6b.css	(from https://nousresearch.com/)
19:04:11	9213/9213	---MCZ	200	added ('OK')	text/css	etag:W/%226795bfbc-23fd%22	https://nousresearch.com/wp-content/uploads/elementor/css/post-93.css?ver=1737867196	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/uploads/elementor/css/post-938ed3.css	(from https://nousresearch.com/)
19:04:12	460/460	---MCZ	200	added ('OK')	text/css	etag:W/%226795bfe9-1cc%22	https://nousresearch.com/wp-content/uploads/elementor/css/post-933.css?ver=1737867241	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/uploads/elementor/css/post-933444c.css	(from https://nousresearch.com/)
19:04:12	4596/4596	---MCZ	200	added ('OK')	text/css	etag:W/%226795bfbc-11f4%22	https://nousresearch.com/wp-content/uploads/elementor/css/post-364.css?ver=1737867196	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/uploads/elementor/css/post-3648ed3.css	(from https://nousresearch.com/)
19:04:12	7247/7247	---MCZ	200	added ('OK')	text/css	etag:W/%2267292bd5-1c4f%22	https://nousresearch.com/wp-content/tablepress-combined.min.css?ver=166	C:/Users/Pakyngl/Downloads/framer/nous/nousresearch.com/wp-content/tablepress-combined.min8766.css	(from https://nousresearch.com/)
19:04:12	102641/102641	---MCZ	200	added ('OK')	text/css	etag:W/%229402848c3d4bbc710c764326f8b887c9%22	https://use.fontawesome.com/releases/v6.5.1/css/all.css	C:/Users/Pakyngl/Downloads/framer/nous/use.fontawesome.com/releases/v6.5.1/css/all.css	(from https://nousresearch.com/)
19:04:13	27593/27593	---MCZ	200	added ('OK')	text/css	etag:W/%22945af432e96851f47f2b4ad641972c00%22	https://use.fontawesome.com/releases/v6.5.1/css/v4-shims.css	C:/Users/Pakyngl/Downloads/framer/nous/use.fontawesome.com/releases/v6.5.1/css/v4-shims.css	(from https://nousresearch.com/)
19:04:13	2222/2222	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Feb%202025%2018:04:13%20GMT	https://plausible.io/js/plausible.outbound-links.js?ver=2.1.4	C:/Users/Pakyngl/Downloads/framer/nous/plausible.io/js/plausible.outbound-links6b25.js	(from https://nousresearch.com/)
